City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Usinsk,RU,65.9939,57.5281,-19.08,91,100,7.65,overcast clouds
Bumba,CD,2.1833,22.4667,22.04,92,99,1.02,overcast clouds
Linqiong,CN,30.4159,103.4609,13.89,62,0,1.58,clear sky
Chifeng,CN,42.2683,118.9636,0.43,89,47,4.93,scattered clouds
Vega De Alatorre,MX,20.0333,-96.6333,21.62,68,0,5.51,clear sky
Hualmay,PE,-11.0964,-77.6139,20.87,84,98,2.48,overcast clouds
Serowe,BW,-22.3833,26.7167,19.14,92,44,1.2,light rain
Grand Gaube,MU,-20.0064,57.6608,27.78,71,2,2.68,light rain
Luderitz,NA,-26.6481,15.1594,18.49,66,0,7.7,clear sky
Igrim,RU,63.1906,64.4162,-15.42,95,99,2.42,overcast clouds
Graaff-Reinet,ZA,-32.2522,24.5308,15.56,77,45,1.46,scattered clouds
Launceston,AU,-41.45,147.1667,21.11,88,75,4.63,moderate rain
Lisakovsk,KZ,52.5369,62.4936,1.79,99,100,4.57,light rain
Port Hardy,CA,50.6996,-127.4199,7.0,93,90,2.57,moderate rain
Varginha,BR,-21.5514,-45.4303,19.78,93,100,1.1,overcast clouds
Togur,RU,58.3631,82.8265,-18.74,93,86,2.27,overcast clouds
Tromso,NO,69.6496,18.957,-1.0,80,75,5.14,light snow
Aquiraz,BR,-3.9014,-38.3911,27.0,83,20,3.6,few clouds
Rubtsovsk,RU,51.5,81.25,-4.33,98,100,4.73,light snow
North Branch,US,45.5113,-92.9802,-12.0,67,90,5.66,overcast clouds
Cravo Norte,CO,6.3017,-70.2041,27.82,62,73,2.71,broken clouds
Samarai,PG,-10.6167,150.6667,29.13,71,59,2.38,broken clouds
San Juan Del Rio,MX,20.3833,-100.0,18.0,25,1,1.03,clear sky
Kambove,CD,-10.8764,26.5969,15.96,96,99,1.02,overcast clouds
Bambari,CF,5.768,20.6757,22.83,41,59,0.97,broken clouds
Gloucester,GB,51.8657,-2.2431,6.67,96,69,0.89,broken clouds
Magadan,RU,59.5667,150.8,-18.67,84,89,7.36,overcast clouds
Arroyo,ES,41.6096,-4.7969,7.22,100,75,3.6,light rain
Sao Joao Da Barra,BR,-21.6403,-41.0511,24.77,83,0,8.24,clear sky
Gombong,ID,-7.6072,109.5142,31.12,60,100,1.5,light rain
Qingdao,CN,36.0986,120.3719,9.0,57,0,6.0,clear sky
Matamoros,MX,25.5333,-103.25,25.0,11,1,0.99,clear sky
Alihe,CN,50.5667,123.7167,-15.13,84,94,1.43,overcast clouds
Penzance,GB,50.1186,-5.5371,8.0,87,75,6.17,broken clouds
Halvad,IN,23.0167,71.1833,21.28,37,0,4.3,clear sky
Apiai,BR,-24.5094,-48.8425,18.65,100,6,1.05,clear sky
Cartagena,CO,10.3997,-75.5144,26.0,89,40,3.6,scattered clouds
Cozumel,MX,20.5083,-86.9458,21.0,68,20,3.09,few clouds
Tumpat,MY,6.1978,102.171,28.0,74,20,1.54,few clouds
Lavrentiya,RU,65.5833,-171.0,-21.76,90,100,8.39,snow
Madimba,TZ,-10.4,40.3333,23.0,100,20,4.12,few clouds
Sola,VU,-13.8833,167.55,30.0,84,90,2.75,overcast clouds
Rio Gallegos,AR,-51.6226,-69.2181,11.0,50,0,7.2,clear sky
Sinnamary,GF,5.3833,-52.95,24.91,81,75,5.96,broken clouds
Makakilo City,US,21.3469,-158.0858,24.0,50,20,5.14,few clouds
Sambava,MG,-14.2667,50.1667,25.05,85,70,2.78,broken clouds
Grand-Lahou,CI,5.1367,-5.0242,25.72,92,29,4.26,scattered clouds
Moron,AR,-34.6534,-58.6198,22.78,62,0,0.45,clear sky
Aklavik,CA,68.2191,-135.0107,-38.0,74,99,3.6,overcast clouds
Mecca,SA,21.4267,39.8261,19.79,47,79,5.62,broken clouds
Kushmurun,KZ,52.4503,64.6311,1.3,99,100,4.0,overcast clouds
Sandakan,MY,5.8402,118.1179,26.0,94,40,1.03,light rain
Phangnga,TH,8.4509,98.5298,29.0,65,20,5.66,few clouds
Westport,US,41.1415,-73.3579,1.0,80,1,1.54,clear sky
Mogadishu,SO,2.0371,45.3438,25.46,78,84,7.77,broken clouds
Beloha,MG,-25.1667,45.05,27.37,65,5,4.48,clear sky
Half Moon Bay,US,37.4636,-122.4286,12.0,49,1,3.09,clear sky
Gamba,GA,-2.65,10.0,25.7,87,100,1.98,overcast clouds
Banda Aceh,ID,5.5577,95.3222,28.83,68,38,6.93,scattered clouds
East Hampton,US,37.0374,-76.3316,7.78,39,40,4.12,scattered clouds
Paamiut,GL,61.994,-49.6678,-7.66,75,0,2.25,clear sky
Tambura,SS,5.6,27.4667,20.42,25,51,1.09,broken clouds
Ambilobe,MG,-13.2,49.05,24.77,89,92,0.82,overcast clouds
Kampot,KH,10.6167,104.1833,30.0,58,40,2.06,scattered clouds
Bella Vista,US,36.4295,-94.2316,1.11,60,1,4.12,clear sky
Brae,GB,60.3964,-1.353,2.0,64,90,9.26,overcast clouds
Omsukchan,RU,62.5333,155.8,-26.86,85,100,1.79,overcast clouds
Hachinohe,JP,40.5,141.5,-1.0,55,40,12.35,scattered clouds
Ternate,ID,0.8,127.4,29.55,64,88,1.12,overcast clouds
Opuwo,NA,-18.0607,13.84,20.45,34,16,1.32,few clouds
Geraldton,AU,-28.7667,114.6,27.0,29,75,9.26,broken clouds
Osakarovka,KZ,50.565,72.5692,-4.85,98,90,4.29,overcast clouds
Iquique,CL,-20.2208,-70.1431,22.0,68,0,3.09,clear sky
Gornopravdinsk,RU,60.05,69.9,-11.26,96,100,2.86,light snow
Abu Samrah,SY,35.3029,37.1841,9.98,88,62,5.1,broken clouds
Coihaique,CL,-45.5752,-72.0662,16.0,63,0,1.03,clear sky
Black River,JM,18.0264,-77.8487,24.0,88,75,5.14,broken clouds
Suez,EG,29.9737,32.5263,14.34,85,8,6.52,clear sky
Muli,MV,2.9167,73.5667,28.16,69,80,8.92,broken clouds
Picui,BR,-6.5106,-36.3469,21.33,87,4,7.76,clear sky
Dongning,CN,44.0622,131.1207,-9.94,92,100,1.22,overcast clouds
Jinchang,CN,38.4953,102.1739,5.49,40,0,1.14,clear sky
Careva Cuprija,BA,44.2658,18.4292,1.0,100,40,0.51,fog
Jijiga,ET,9.35,42.8,12.07,37,21,1.2,few clouds
Codrington,AU,-38.2667,141.9667,21.39,37,26,2.47,scattered clouds
Kichera,RU,55.9375,110.0997,-13.64,88,100,0.88,overcast clouds
Alofi,NU,-19.0595,-169.9187,28.0,78,90,3.6,light rain
Biltine,TD,14.5333,20.9167,17.3,29,0,8.98,clear sky
Lasa,IT,46.6166,10.7002,4.44,86,0,1.55,clear sky
Dubti,ET,11.7361,41.0853,17.04,49,11,3.01,few clouds
Feijo,BR,-8.1642,-70.3536,23.43,96,100,0.64,light rain
Chokurdakh,RU,70.6333,147.9167,-26.29,86,98,9.19,overcast clouds
Poya,NC,-21.35,165.15,28.14,76,22,3.13,few clouds
Zarubino,RU,42.63,131.0922,-5.98,94,90,2.36,overcast clouds
North Platte,US,41.1239,-100.7654,0.0,69,35,0.89,scattered clouds
Muravlenko,RU,63.7898,74.523,-29.12,88,68,1.65,broken clouds
Saint Anthony,US,45.0205,-93.218,-12.0,61,75,7.72,broken clouds
Cherskiy,RU,68.75,161.3,-21.47,76,99,3.12,overcast clouds
Marsassoum,SN,12.8275,-15.9806,22.0,78,0,2.06,clear sky
Waitara,NZ,-38.925,174.25,17.22,58,0,8.05,clear sky
Samana,DO,19.2056,-69.3369,22.97,87,5,2.9,clear sky
Mitu,CO,1.1983,-70.1733,21.94,97,97,0.13,overcast clouds
Kjollefjord,NO,70.9457,27.3465,-3.1,91,100,5.85,overcast clouds
Bowen,AU,-20.0167,148.2333,30.0,66,90,4.63,overcast clouds
Vaitape,PF,-16.5167,-151.75,27.87,65,1,2.3,clear sky
Yumen,CN,40.2833,97.2,4.0,47,1,11.46,clear sky
Karsava,LV,56.7841,27.6883,-14.27,96,85,3.01,overcast clouds
Asau,RO,46.4333,26.4,2.22,71,50,0.23,scattered clouds
Imbituba,BR,-28.24,-48.6703,23.0,73,0,3.6,clear sky
Praia Da Vitoria,PT,38.7333,-27.0667,11.0,87,75,8.74,broken clouds
Great Falls,US,47.5002,-111.3008,1.11,44,90,7.2,overcast clouds
Washougal,US,45.5826,-122.3534,8.0,81,90,5.14,overcast clouds
Sivas,TR,39.7916,37.0019,-2.23,98,67,1.08,broken clouds
Kysyl-Syr,RU,63.8986,122.7617,-36.06,80,0,2.22,clear sky
Contramaestre,CU,20.2978,-76.2414,22.0,77,0,4.63,clear sky
Mumford,GH,5.2618,-0.759,26.46,88,6,3.42,clear sky
Skerries,IE,53.5828,-6.1083,5.56,87,75,2.57,broken clouds
Kismayo,SO,-0.3582,42.5454,24.62,82,7,4.9,clear sky
Denpasar,ID,-8.65,115.2167,29.0,84,20,4.12,few clouds
Bonavista,CA,48.6499,-53.1147,2.0,100,97,0.51,overcast clouds
Quimperle,FR,47.8667,-3.55,8.0,100,90,1.54,overcast clouds
Leticia,CO,-4.2153,-69.9406,24.0,100,40,0.04,scattered clouds
Plettenberg Bay,ZA,-34.0527,23.3716,17.84,88,0,0.57,clear sky
Klaksvik,FO,62.2266,-6.589,1.0,69,20,5.66,light rain
Srednekolymsk,RU,67.45,153.6833,-21.32,84,83,6.85,broken clouds
Voineasa,RO,44.2833,24.1333,5.0,75,0,2.57,clear sky
Kirundo,BI,-2.5833,30.1667,18.0,94,75,1.54,light rain
College,US,64.8569,-147.8028,-30.56,68,40,1.18,scattered clouds
Matara,LK,5.9485,80.5353,27.6,70,13,0.78,few clouds
Otane,NZ,-39.8833,176.6333,16.67,69,97,5.01,overcast clouds
Manaus,BR,-3.1019,-60.025,26.0,94,20,0.84,few clouds
Shimoda,JP,34.6667,138.95,11.0,54,40,3.09,scattered clouds
Ridgecrest,US,35.6225,-117.6709,10.0,27,1,2.57,clear sky
Verkhnyaya Inta,RU,65.9811,60.3094,-19.39,88,88,5.79,overcast clouds
Phan Thiet,VN,10.9333,108.1,28.95,52,23,2.67,few clouds
Alekseyevsk,RU,57.8406,108.3492,-14.4,92,99,1.63,overcast clouds
Kilindoni,TZ,-7.9139,39.6668,27.57,76,74,3.71,broken clouds
Ngunguru,NZ,-35.6167,174.5,19.19,77,100,3.03,overcast clouds
Svetlyy,RU,54.675,20.1347,-5.56,86,75,2.0,light snow
Roma,US,43.2128,-75.4557,-5.0,80,1,3.09,clear sky
Labuan,MY,5.2767,115.2417,28.0,83,20,2.57,few clouds
Lexington,US,37.9887,-84.4777,5.0,93,90,4.63,light rain
Ambunti,PG,-4.2365,142.8448,29.25,76,73,1.05,moderate rain
Mirabad,AF,30.4362,61.8383,12.19,37,0,2.72,clear sky
Seydi,TM,39.4816,62.9137,8.3,66,41,4.69,scattered clouds
Waddan,LY,29.1614,16.139,13.33,87,17,1.92,few clouds
Gandara,PH,12.013,124.8118,28.03,83,28,3.86,scattered clouds
Praia,CV,14.9215,-23.5087,21.0,73,75,6.17,broken clouds
Vila,PT,42.0304,-8.1588,3.89,94,60,1.67,broken clouds
Macultepec,MX,18.1667,-92.8333,19.0,88,1,2.66,clear sky
Ibra,OM,22.6906,58.5334,18.08,59,0,0.95,clear sky
Batagay-Alyta,RU,67.8006,130.4114,-29.11,85,100,1.26,overcast clouds
Baykit,RU,61.67,96.37,-17.26,89,100,1.41,overcast clouds
Ruteng,ID,-8.6136,120.4721,22.43,91,83,2.24,broken clouds
Sabang,ID,5.8933,95.3214,27.48,76,48,11.45,scattered clouds
Itarema,BR,-2.9248,-39.9167,25.52,84,94,5.13,overcast clouds
Jaciara,BR,-15.9653,-54.9683,23.61,79,92,1.13,overcast clouds
Cao Bang,VN,22.6667,106.25,23.66,53,44,2.55,scattered clouds
Along,IN,28.1667,94.7667,21.61,36,70,0.2,broken clouds
Bealanana,MG,-14.55,48.7333,19.46,89,100,0.64,overcast clouds
Santa Cruz Cabralia,BR,-16.2781,-39.0247,25.0,83,20,3.09,few clouds
The Valley,AI,18.217,-63.0578,26.0,73,20,6.17,few clouds
Borovoy,RU,55.4333,86.0833,-16.0,85,98,5.0,smoke
Harper,LR,4.375,-7.7169,25.68,90,62,3.23,broken clouds
Murgab,TM,37.4966,61.9714,4.0,70,0,2.06,clear sky
Dhidhdhoo,MV,6.8833,73.1,27.39,71,85,2.52,overcast clouds
Salinas,US,36.6777,-121.6555,12.0,66,1,1.73,clear sky
Sabla,NG,12.7525,4.7077,19.92,23,0,4.61,clear sky
Anadyr,RU,64.75,177.4833,-15.0,78,75,14.0,snow
Boden,SE,65.8252,21.6886,-7.0,93,90,2.57,light snow
Poykovskiy,RU,61.2333,73.3333,-17.0,85,100,2.0,light snow
Juneau,US,58.3019,-134.4197,-1.0,86,75,1.84,broken clouds
Turukhansk,RU,65.8167,87.9833,-32.2,86,99,1.31,overcast clouds
Birjand,IR,32.8663,59.2211,-4.0,24,0,2.06,clear sky
Tevaitoa,PF,-16.7833,-151.5,27.87,66,1,3.17,clear sky
Alice Springs,AU,-23.7,133.8833,25.0,57,90,4.12,overcast clouds
Berlevag,NO,70.8578,29.0864,-2.51,91,100,6.28,light snow
Constitucion,CL,-35.3333,-72.4167,15.32,90,89,1.38,overcast clouds
Huntsville,US,34.7304,-86.5861,11.67,93,90,3.6,heavy intensity rain
Kajaani,FI,64.2273,27.7285,-21.0,84,40,1.54,scattered clouds
Vilyuysk,RU,63.7553,121.6247,-36.6,79,0,1.56,clear sky
Sexsmith,CA,55.35,-118.786,-23.0,84,40,3.09,scattered clouds
Point Pedro,LK,9.8167,80.2333,25.67,72,44,6.02,scattered clouds
Camabatela,AO,-8.1881,15.375,17.31,100,100,0.86,overcast clouds
Prince Rupert,CA,54.3161,-130.3201,4.0,93,75,5.66,light rain
Glenwood Springs,US,39.5505,-107.3248,-1.0,85,90,6.17,light snow
Chalmette,US,29.9427,-89.9634,19.0,77,90,3.09,overcast clouds
Bikin,RU,46.8161,134.26,-18.26,87,31,2.78,scattered clouds
Przasnysz,PL,53.0191,20.8803,-7.0,92,40,0.96,scattered clouds
Belaya Gora,RU,68.5333,146.4167,-28.04,87,69,4.48,broken clouds
Ixtapa,MX,20.7,-105.2,20.0,94,1,1.16,clear sky
Tornio,FI,65.8481,24.1466,-19.0,84,0,0.51,clear sky
Kachiry,KZ,53.0675,76.1036,-5.8,98,99,3.18,overcast clouds
Ankang,CN,32.68,109.0172,11.92,47,0,1.38,clear sky
Matata,NZ,-37.8833,176.75,23.89,56,0,2.24,clear sky
Nosivka,UA,50.9315,31.5828,-7.41,93,54,7.53,broken clouds
Tshela,CD,-4.9833,12.9333,23.91,95,100,0.64,overcast clouds
Kulhudhuffushi,MV,6.6221,73.07,27.36,73,98,3.28,overcast clouds
Manbij,SY,36.5281,37.9549,8.0,81,75,0.51,broken clouds
Mmathubudukwane,BW,-24.6,26.4333,21.0,100,75,3.6,light rain
Laguna,US,38.421,-121.4238,11.0,50,1,1.54,clear sky
Bilma,NE,18.6853,12.9164,14.79,34,0,3.8,clear sky
Killybegs,IE,54.6333,-8.45,4.44,91,99,3.13,overcast clouds
Laredo,US,27.5064,-99.5075,24.0,38,1,3.09,clear sky
Palmas,BR,-10.2128,-48.3603,25.0,100,0,1.03,clear sky
Ust-Maya,RU,60.4167,134.5333,-34.63,80,100,0.16,overcast clouds
Temiscaming,CA,46.7212,-79.0971,-4.0,86,74,1.03,broken clouds
Dolzhanskaya,RU,46.6311,37.8039,5.56,100,100,3.13,overcast clouds
Riyadh,SA,24.6877,46.7219,14.0,41,0,2.06,clear sky
Trebinje,BA,42.7119,18.3442,11.0,82,75,4.12,broken clouds
Hoquiam,US,46.9809,-123.8893,8.89,100,75,8.23,mist
Osypenko,UA,46.9136,36.8253,5.56,100,100,3.13,overcast clouds
Choszczno,PL,53.169,15.4205,0.0,76,1,0.45,clear sky
Lengshuitan,CN,26.4111,111.5956,15.64,63,91,2.88,overcast clouds
Uvalde,US,29.3669,-99.767,18.0,39,1,5.14,clear sky
Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,21.67,78,0,0.45,clear sky
Senanga,ZM,-16.1167,23.2667,19.2,93,46,2.07,scattered clouds
Saint-Louis,SN,16.3333,-15.0,21.0,68,0,2.06,clear sky
Dire Dawa,ET,9.5931,41.8661,16.3,28,5,3.24,clear sky
Boffa,GN,10.1667,-14.0333,19.95,88,23,1.21,few clouds
Maoming,CN,21.65,110.9,23.68,50,44,4.84,scattered clouds
Solhan,TR,38.9634,41.0293,0.11,93,99,0.73,overcast clouds
Marawi,PH,7.9986,124.2928,27.22,84,58,3.13,broken clouds
Jardim,BR,-21.4803,-56.1381,21.27,93,49,1.8,scattered clouds
Aktash,RU,50.3,87.7333,-10.38,96,96,1.15,overcast clouds
Xiamen,CN,24.4798,118.0819,22.0,56,0,2.0,clear sky
Quesnel,CA,52.9999,-122.5029,-2.0,100,90,1.03,snow
Podor,MR,16.6527,-14.9587,21.0,68,0,2.06,clear sky
Lebyazhye,RU,55.2689,66.4947,0.68,98,100,2.88,light rain
Namatanai,PG,-3.6667,152.4333,29.1,72,21,1.84,light rain
Kikwit,CD,-5.041,18.8162,21.23,96,46,0.27,scattered clouds
Galle,LK,6.0367,80.217,26.67,76,42,1.92,scattered clouds
Hambantota,LK,6.1241,81.1185,25.0,83,40,2.06,scattered clouds
Fairbanks,US,64.8378,-147.7164,-30.56,75,1,1.11,clear sky
Seoni Malwa,IN,22.45,77.4667,22.99,24,1,0.39,clear sky
Cobija,BO,-11.0267,-68.7692,23.48,97,100,1.27,overcast clouds
Kalianget,ID,-7.05,113.9333,28.87,76,67,8.22,broken clouds
Camana,PE,-16.6228,-72.7111,21.79,74,83,2.22,broken clouds
Ostrovnoy,RU,68.0531,39.5131,-10.36,92,100,9.37,light snow
Boyuibe,BO,-20.4167,-63.2833,17.93,77,10,2.3,clear sky
Peace River,CA,56.2501,-117.286,-20.0,65,75,3.6,light snow
Athens,GR,37.9795,23.7162,13.33,87,0,1.23,clear sky
Iquitos,PE,-3.7481,-73.2472,24.0,94,40,0.51,scattered clouds
Muncar,ID,-8.4333,114.3333,29.43,72,34,1.77,scattered clouds
Petauke,ZM,-14.2426,31.3253,18.21,97,31,1.6,scattered clouds
Guarapari,BR,-20.6667,-40.4975,26.11,78,40,3.6,scattered clouds
Achinsk,RU,56.2694,90.4993,-14.0,94,100,3.9,overcast clouds
Point Pleasant,US,40.0832,-74.0682,1.11,60,1,2.57,clear sky
Hatillo,PR,18.4863,-66.8254,23.89,97,0,3.34,clear sky
Petrykivka,UA,48.7298,34.6351,0.0,86,90,11.0,overcast clouds
Mount Isa,AU,-20.7333,139.5,37.0,34,75,5.14,broken clouds
Inuvik,CA,68.3499,-133.7218,-38.0,74,100,3.6,overcast clouds
Shelton,US,41.3165,-73.0932,1.0,74,1,2.39,clear sky
Ritchie,ZA,-29.038,24.6028,19.0,94,0,3.6,clear sky
Kralendijk,BQ,12.15,-68.2667,27.0,78,75,8.75,broken clouds
General Roca,AR,-39.0333,-67.5833,24.0,57,0,1.03,clear sky
Pundaguitan,PH,6.3711,126.1689,27.39,80,95,6.67,overcast clouds
Batken,KG,39.8333,71.0,-4.04,72,41,4.9,scattered clouds
Ozernovskiy,RU,51.5,156.5167,-10.09,87,100,7.11,light snow
Kilakarai,IN,9.2333,78.7833,25.36,70,21,6.93,few clouds
Bonthe,SL,7.5264,-12.505,24.89,88,4,2.97,clear sky
Badiraguato,MX,25.3667,-107.5167,22.0,53,1,1.54,clear sky
Faya,SA,18.3851,42.4509,15.0,51,0,3.6,clear sky
Tall Kayf,TR,37.0833,41.0667,10.0,81,75,2.57,broken clouds
Aloleng,PH,16.1307,119.7824,29.02,56,35,2.22,scattered clouds
Itoman,JP,26.1247,127.6694,22.0,46,40,4.12,scattered clouds
Fonte Boa,BR,-2.4959,-66.2662,24.19,94,100,0.74,heavy intensity rain
Mozirje,SI,46.3394,14.9633,7.78,100,90,2.06,overcast clouds
Palana,RU,59.1167,159.9667,-15.51,97,100,0.94,overcast clouds
Merauke,ID,-8.4667,140.3333,27.55,84,100,5.36,light rain
Ostashkov,RU,57.1467,33.1075,-14.63,95,100,3.02,overcast clouds
Kruisfontein,ZA,-34.0033,24.7314,16.67,96,0,1.52,clear sky
Ginir,ET,7.1333,40.7,11.79,39,1,1.14,clear sky
Solnechnyy,RU,50.7214,136.6319,-21.8,84,71,2.47,broken clouds
Puerto Carreno,CO,6.189,-67.4859,26.31,76,100,3.16,overcast clouds
Ugoofaaru,MV,5.6667,73.0,27.61,70,99,3.73,overcast clouds
Antalaha,MG,-14.9003,50.2788,24.8,84,30,1.91,scattered clouds
Campos Belos,BR,-13.0367,-46.7717,21.32,89,98,0.18,overcast clouds
Galiakot,IN,23.5167,74.0,19.89,41,0,5.43,clear sky
Zonguldak,TR,41.25,31.8333,7.59,95,88,1.92,overcast clouds
Fort Nelson,CA,58.8053,-122.7002,-25.0,70,90,0.51,light snow
Portobelo,PA,9.55,-79.65,26.11,74,83,2.24,broken clouds
Barkly West,ZA,-28.5354,24.5215,19.0,94,0,3.6,clear sky
Tessalit,ML,20.1986,1.0114,18.7,24,39,7.03,scattered clouds
Buraydah,SA,26.326,43.975,18.0,42,40,6.69,light rain
Kununurra,AU,-15.7667,128.7333,33.0,62,75,1.54,broken clouds
Edd,ER,13.9297,41.6925,24.18,29,0,6.37,clear sky
Goderich,CA,43.7501,-81.7165,-1.0,86,100,9.26,light snow
Buin,CL,-33.7333,-70.75,22.78,68,0,4.63,clear sky
Severo-Yeniseyskiy,RU,60.3725,93.0408,-17.48,93,98,4.46,overcast clouds
Berbera,SO,10.4396,45.0143,21.48,66,0,1.25,clear sky
Ust-Kuyga,RU,70.0167,135.6,-30.47,84,34,2.97,scattered clouds
Tiarei,PF,-17.5333,-149.3333,27.78,65,10,0.89,clear sky
Manggar,ID,-2.8833,108.2667,30.11,65,80,5.72,light rain
Matay,EG,28.419,30.7792,12.29,91,0,4.32,clear sky
Bereda,ES,43.2686,-7.5406,7.22,100,68,0.45,broken clouds
Taltal,CL,-25.4,-70.4833,17.72,76,45,0.21,scattered clouds
Batsfjord,NO,70.6345,29.7185,-8.0,79,40,6.17,scattered clouds
Aborlan,PH,9.4352,118.5492,31.0,62,40,6.17,scattered clouds
Xinqing,CN,48.2333,129.5,-15.35,91,100,0.56,light snow
Visnes,NO,59.3556,5.2242,-5.0,53,12,3.6,few clouds
Sergeyevka,KZ,53.88,67.4158,1.07,99,100,3.63,overcast clouds
Imeni Poliny Osipenko,RU,52.4201,136.4853,-26.17,82,99,2.9,overcast clouds
Russkiy Aktash,RU,55.0384,52.1214,1.0,100,90,5.0,light rain
Mayumba,GA,-3.432,10.6554,26.16,84,100,2.11,light rain
Tansen,NP,27.8673,83.5467,13.8,54,95,3.39,overcast clouds
Zhuhai,CN,22.2769,113.5678,25.0,68,0,1.54,clear sky
Puri,IN,19.8,85.85,21.0,60,0,1.83,haze
Tukrah,LY,32.5341,20.5791,12.94,81,12,2.02,few clouds
Zimapan,MX,20.75,-99.35,17.64,31,0,1.58,clear sky
Saint-Francois,FR,46.4154,3.9054,7.22,93,90,1.54,mist
Karratha,AU,-20.7377,116.8463,29.94,67,26,6.98,scattered clouds
Nantucket,US,41.2835,-70.0995,-2.0,86,1,3.09,clear sky
Arica,CL,-18.475,-70.3042,20.0,77,0,2.57,clear sky
Cockburn Town,TC,21.4612,-71.1419,23.63,71,0,7.05,clear sky
Lorengau,PG,-2.0226,147.2712,25.64,84,100,3.89,overcast clouds
Cardoso,BR,-20.0819,-49.9142,23.41,88,100,2.18,light rain
